CountryName,CountryCode,Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,GDPPerCapita2019,RankOf2021
Finland,FIN,Europe,7.78,7.69,8.19,8.66,9.38,8.82,8.64,7.36,6.69,7.76,7.53,"5,520,314",2.69E+11,48685.85,76
France,FRA,Europe,8.81,9.4,9.92,10.29,10.35,10.05,9.41,9.02,8.41,8.01,8.06,"67,059,887",2.72E+12,40493.93,69
French Polynesia,PYF,Oceania,12.29,12.21,12.17,12.2,12.17,12.18,12.21,12.25,12.3,14.1,14.39,"299,356",3447543138,11516.53,29
Gabon,GAB,Africa,20.43,20.49,20.52,20.57,20.61,20.67,20.72,20.75,20.74,21.97,22.26,"2,172,579",16657960228,7667.37,7
Gambia,GMB,Africa,9.51,9.42,9.45,9.5,9.47,9.5,9.48,9.48,9.5,11.08,11.21,"2,347,706",1763819048,751.29,44
Georgia,GEO,Asia,19.63,19.65,19.42,17.44,16.51,16.6,13.94,12.67,11.57,18.5,10.66,"3,720,382",17743195770,4769.19,46
Germany,DEU,Europe,5.82,5.38,5.23,4.98,4.62,4.12,3.75,3.38,3.14,3.81,3.54,"83,132,799",3.85E+12,46258.88,152
Ghana,GHA,Africa,5.6,5.91,6.2,6.52,6.81,5.53,4.22,4.28,4.32,4.65,4.7,"30,792,608",66983634224,2175.32,130
Greece,GRC,Europe,17.86,24.44,27.47,26.49,24.9,23.54,21.49,19.29,17.31,16.3,14.8,"10,716,322",2.10E+11,19582.54,25
Guam,GUM,Oceania,13.3,12.2,11.5,7.6,6.9,5.4,5.43,5.56,5.51,6.8,6.98,"168,801",5920000000,35070.88,84
Guatemala,GTM,Central America,3.09,2.76,3.02,2.72,2.51,2.58,2.46,2.28,2.19,3.55,3.57,"16,604,026",76710385880,4619.99,151
Guinea,GIN,Africa,4.79,4.82,4.87,4.9,4.92,4.88,4.91,4.98,5.02,6.1,6.34,"12,771,246",13590281809,1064.13,94
Guinea-Bissau,GNB,Africa,5.98,5.87,5.81,5.8,5.87,5.95,5.99,5.98,6.04,6.74,6.76,"1,920,922",1340389411,697.78,85
Guyana,GUY,South America,12.06,12.34,12.63,12.92,13.21,13.46,13.75,14.02,13.99,16.43,16.42,"782,766",4280443645,5468.36,19
Haiti,HTI,Caribbean,14.53,14.1,14,13.95,13.96,13.93,13.88,13.86,13.91,15.45,15.73,"11,263,077",8498981821,754.59,22
Honduras,HND,Central America,4.47,3.75,5.65,7.08,6.15,6.73,5.53,5.65,5.7,8.37,8.51,"9,746,117",25095395475,2574.91,64
Hong Kong,HKG,Asia,3.42,3.29,3.4,3.3,3.31,3.39,3.13,2.82,2.93,5.83,5.32,"7,507,400",3.66E+11,48755.84,109
Hungary,HUN,Europe,11.03,11,10.18,7.73,6.81,5.11,4.16,3.71,3.42,4.25,4.12,"9,769,949",1.61E+11,16475.74,138
Iceland,ISL,Europe,7.03,6,5.38,4.9,3.98,2.98,2.74,2.7,3.51,5.48,5.4,"361,313",24188035739,66944.83,106
India,IND,Asia,5.43,5.41,5.42,5.44,5.43,5.42,5.36,5.33,5.27,8,5.98,"1,366,417,754",2.61E+12,1910.84,99
Indonesia,IDN,Asia,5.15,4.47,4.34,4.05,4.51,4.3,3.88,4.4,3.62,4.28,4.41,"270,203,917",1.12E+12,4142.02,134
Iran,IRN,Asia,12.49,12.27,10.6,10.68,11.17,12.62,12.23,12.19,10.74,12.17,11.46,"82,913,906",4.45E+11,5371.18,42
Iraq,IRQ,Asia,8.12,7.96,9.26,10.59,10.73,10.82,13.02,12.97,12.86,14.09,14.19,"39,309,783",2.34E+11,5955.11,31
Ireland,IRL,Europe,15.35,15.45,13.73,11.86,9.91,8.37,6.71,5.74,4.95,5.62,6.63,"5,007,069",3.89E+11,77629.99,88
Israel,ISR,Asia,7.14,6.86,6.21,5.89,5.25,4.8,4.22,4,3.8,4.33,5.05,"9,053,300",3.95E+11,43641.4,119
Italy,ITA,Europe,8.36,10.65,12.15,12.68,11.9,11.69,11.21,10.61,9.95,9.16,9.83,"60,297,396",2.00E+12,33189.57,52
Ivory Coast,CIV,Africa,7.13,7.22,4.25,3.7,3.15,2.6,3.27,3.29,3.32,3.49,3.47,"25,716,544",58792205642,2286.16,155
Jamaica,JAM,Caribbean,12.7,13.93,15.25,13.74,13.51,13.19,11.63,9.1,7.69,9.48,9.18,"2,948,279",16458071068,5582.26,57
Japan,JPN,Asia,4.55,4.36,4,3.6,3.4,3.1,2.8,2.4,2.4,2.8,2.8,"126,226,568",5.08E+12,40259.11,162
Jordan,JOR,Asia,12.9,12.2,12.6,11.9,13.08,15.28,18.14,18.27,16.81,19.03,19.25,"10,101,694",43743661972,4330.33,13
Kazakhstan,KAZ,Asia,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.85,4.8,4.89,4.9,"18,513,930",1.80E+11,9731.15,123
Kenya,KEN,Africa,2.84,2.83,2.81,2.8,2.78,2.76,3.51,4.25,5.01,5.73,5.74,"52,573,973",95503088538,1816.55,102
